epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,487.264,0.8965,1.01834,0.89887,0.99958,0.99111,0.995,0.7875,0.76253,0.46356,0.8732,0.000664444,0.000664444,0.000664444
2,937.611,0.85432,0.50311,0.88872,0.99984,0.98889,0.99498,0.83217,0.64859,0.41263,0.83918,0.00131793,0.00131793,0.00131793
3,1373.96,0.82698,0.47665,0.88346,0.99949,0.99111,0.995,0.79146,0.79974,0.42279,0.88404,0.00195822,0.00195822,0.00195822
4,1805.58,0.83276,0.45801,0.8781,0.99314,0.99111,0.99451,0.82932,0.69186,0.38149,0.84711,0.0019406,0.0019406,0.0019406
5,2237.18,0.82285,0.45113,0.88195,0.99973,0.99111,0.995,0.85994,0.61562,0.37867,0.82589,0.0019208,0.0019208,0.0019208
6,2668.21,0.76859,0.42563,0.8695,0.99946,0.99111,0.995,0.86109,0.61077,0.36238,0.82557,0.001901,0.001901,0.001901
7,3104.82,0.78004,0.42037,0.87197,0.99393,0.99111,0.9946,0.87665,0.54983,0.35081,0.82246,0.0018812,0.0018812,0.0018812
8,3534.51,0.75427,0.40409,0.85995,0.97994,0.99111,0.99029,0.8674,0.56309,0.42146,0.81849,0.0018614,0.0018614,0.0018614
9,3965.74,0.75312,0.39472,0.85973,1,0.99976,0.995,0.86558,0.63743,0.33877,0.83076,0.0018416,0.0018416,0.0018416
10,4394.59,0.73973,0.38265,0.85767,1,0.9886,0.99478,0.87675,0.57162,0.32951,0.82382,0.0018218,0.0018218,0.0018218
11,4824.37,0.74109,0.38591,0.85929,0.99556,0.99732,0.995,0.857,0.68286,0.36376,0.83962,0.001802,0.001802,0.001802
12,5253.45,0.73354,0.38353,0.85343,0.99978,0.99111,0.995,0.879,0.62973,0.33457,0.84124,0.0017822,0.0017822,0.0017822
13,5684.4,0.71985,0.37765,0.85019,1,0.99757,0.995,0.85967,0.61866,0.34018,0.82077,0.0017624,0.0017624,0.0017624
14,6113.38,0.72405,0.37279,0.8502,0.99942,0.99778,0.995,0.87077,0.60654,0.30887,0.83179,0.0017426,0.0017426,0.0017426
15,6544.25,0.70824,0.36315,0.84989,0.99676,0.99778,0.995,0.87194,0.62309,0.3332,0.83751,0.0017228,0.0017228,0.0017228
16,6971.45,0.70829,0.36021,0.84558,1,0.99318,0.995,0.8482,0.69776,0.31629,0.83162,0.001703,0.001703,0.001703
17,7399.08,0.71154,0.3572,0.85389,0.99988,0.99778,0.995,0.87748,0.62344,0.30403,0.82645,0.0016832,0.0016832,0.0016832
18,7825.97,0.69711,0.35233,0.8468,0.9995,0.99778,0.995,0.85869,0.62411,0.30654,0.82056,0.0016634,0.0016634,0.0016634
19,8254.11,0.69313,0.34972,0.84409,0.99984,0.99778,0.995,0.8805,0.58357,0.30746,0.82081,0.0016436,0.0016436,0.0016436
20,8681.63,0.69129,0.34716,0.84855,0.99976,0.99778,0.995,0.86928,0.59917,0.32289,0.81894,0.0016238,0.0016238,0.0016238
21,9109.32,0.69691,0.35093,0.84565,0.99965,0.99111,0.995,0.86956,0.6188,0.30004,0.82928,0.001604,0.001604,0.001604
22,9538.72,0.69592,0.35129,0.8502,0.99946,0.99778,0.995,0.85787,0.62232,0.30927,0.81983,0.0015842,0.0015842,0.0015842
23,9965.87,0.68723,0.3418,0.84572,0.9998,0.99778,0.995,0.90819,0.50731,0.27683,0.80303,0.0015644,0.0015644,0.0015644
24,10394.3,0.67446,0.33756,0.84443,0.9998,0.99778,0.995,0.90557,0.50557,0.26636,0.80813,0.0015446,0.0015446,0.0015446
25,10823.4,0.67626,0.33212,0.84134,0.99934,0.99778,0.995,0.88147,0.55531,0.26894,0.81832,0.0015248,0.0015248,0.0015248
26,11251.6,0.66395,0.33207,0.83725,0.99977,0.99778,0.995,0.89445,0.5254,0.28136,0.80265,0.001505,0.001505,0.001505
27,11680.7,0.67864,0.3396,0.84235,0.99985,0.99778,0.995,0.89031,0.5741,0.29256,0.81164,0.0014852,0.0014852,0.0014852
28,12107.8,0.67083,0.3346,0.84219,0.99985,0.99778,0.995,0.88184,0.61145,0.30208,0.81858,0.0014654,0.0014654,0.0014654
29,12536.3,0.66338,0.33579,0.83958,0.99985,0.99778,0.995,0.86369,0.66251,0.27706,0.83073,0.0014456,0.0014456,0.0014456
30,12964.5,0.66691,0.3298,0.83972,0.99978,0.99778,0.995,0.84812,0.70879,0.30059,0.8344,0.0014258,0.0014258,0.0014258
31,13393.9,0.6728,0.3334,0.8465,0.99928,0.99556,0.995,0.87719,0.60746,0.2936,0.82193,0.001406,0.001406,0.001406
32,13821.8,0.65363,0.32082,0.83981,0.99982,0.99778,0.995,0.88333,0.55035,0.2597,0.81083,0.0013862,0.0013862,0.0013862
33,14253.9,0.66476,0.32888,0.83885,0.9998,0.99778,0.995,0.85882,0.66674,0.27707,0.82933,0.0013664,0.0013664,0.0013664
